session,max_countertrend_bodies,min_transition_distance_pips,max_pullback_ratio,min_rejection_close_location,min_impulse_pips,max_stoch_d,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
london_open,3,0.0,0.45,0.6,8.0,100.0,42,0.1129453947859864,-0.21690476190476188,0.42857142857142855,14,0.23719042296605683,0.058571428571428545,0.5714285714285714,0.08413669800481632
london_open,4,0.0,0.45,0.6,8.0,100.0,42,0.1129453947859864,-0.21690476190476188,0.42857142857142855,14,0.23719042296605683,0.058571428571428545,0.5714285714285714,0.08413669800481632
ny,1,0.0,0.55,0.65,14.0,100.0,20,0.053900284473723616,-0.17599999999999988,0.45,7,0.09329446064139942,0.06142857142857139,0.5714285714285714,0.08286577118045903
ny,1,1.0,0.55,0.65,14.0,100.0,20,0.053900284473723616,-0.17599999999999988,0.45,7,0.09329446064139942,0.06142857142857139,0.5714285714285714,0.08286577118045903
ny,2,0.0,0.35,0.6,14.0,100.0,23,0.08160650486632992,-0.20304347826086952,0.43478260869565216,7,0.12727272727272726,0.06142857142857142,0.5714285714285714,0.08223745004158897
ny,2,1.0,0.35,0.6,14.0,100.0,23,0.08160650486632992,-0.20304347826086952,0.43478260869565216,7,0.12727272727272726,0.06142857142857142,0.5714285714285714,0.08223745004158897
all,3,2.0,0.7,0.6,14.0,100.0,384,0.9701478135005921,-0.1847916666666666,0.4453125,99,1.1468565222637865,-0.30616161616161613,0.40404040404040403,0.08196816749809825
london_open,3,1.0,0.45,0.6,8.0,100.0,40,0.1075670426533204,-0.2239999999999999,0.425,14,0.23719042296605683,0.058571428571428545,0.5714285714285714,0.0814634085306641
london_open,4,1.0,0.45,0.6,8.0,100.0,40,0.1075670426533204,-0.2239999999999999,0.425,14,0.23719042296605683,0.058571428571428545,0.5714285714285714,0.0814634085306641
ny_open,1,0.0,0.7,0.7,14.0,100.0,18,0.05233192004845549,-0.3133333333333333,0.3888888888888889,5,0.0893189430591738,0.12000000000000002,0.6,0.08124416178746889
ny_open,1,1.0,0.7,0.7,14.0,100.0,18,0.05233192004845549,-0.3133333333333333,0.3888888888888889,5,0.0893189430591738,0.12000000000000002,0.6,0.08124416178746889
ny_open,1,2.0,0.7,0.6,14.0,100.0,21,0.06069120539477381,-0.32999999999999996,0.38095238095238093,5,0.0893189430591738,0.12000000000000002,0.6,0.07918586012657383
ny,1,2.0,0.55,0.65,14.0,100.0,18,0.04851025602635125,-0.18833333333333327,0.4444444444444444,7,0.09329446064139942,0.06142857142857139,0.5714285714285714,0.0790433210465401
london_open,3,0.0,0.45,0.6,10.0,100.0,41,0.11293361515728262,-0.24731707317073168,0.4146341463414634,14,0.23719042296605683,0.058571428571428545,0.5714285714285714,0.07735501571438334
london_open,4,0.0,0.45,0.6,10.0,100.0,41,0.11293361515728262,-0.24731707317073168,0.4146341463414634,14,0.23719042296605683,0.058571428571428545,0.5714285714285714,0.07735501571438334
london_open,3,1.0,0.45,0.6,10.0,100.0,39,0.10742465832034201,-0.2561538461538462,0.41025641025641024,14,0.23719042296605683,0.058571428571428545,0.5714285714285714,0.07426698294611965
london_open,4,1.0,0.45,0.6,10.0,100.0,39,0.10742465832034201,-0.2561538461538462,0.41025641025641024,14,0.23719042296605683,0.058571428571428545,0.5714285714285714,0.07426698294611965
ny,1,3.0,0.55,0.65,14.0,100.0,16,0.04312022757897889,-0.20562499999999995,0.4375,7,0.09329446064139942,0.06142857142857139,0.5714285714285714,0.07415975980151007
all,3,3.0,0.7,0.6,14.0,100.0,363,0.9170928549497784,-0.176694214876033,0.4490358126721763,94,1.0889344756848074,-0.3057446808510639,0.40425531914893614,0.0733719441802728
ny_open,1,3.0,0.7,0.6,14.0,100.0,19,0.05491109059527154,-0.35947368421052633,0.3684210526315789,5,0.0893189430591738,0.12000000000000002,0.6,0.07150853390852799
ny_open,1,0.0,0.7,0.6,14.0,100.0,22,0.06358126279452495,-0.36772727272727274,0.36363636363636365,5,0.0893189430591738,0.12000000000000002,0.6,0.07135261619526863
ny_open,1,1.0,0.7,0.6,14.0,100.0,22,0.06358126279452495,-0.36772727272727274,0.36363636363636365,5,0.0893189430591738,0.12000000000000002,0.6,0.07135261619526863
ny,2,3.0,0.35,0.6,14.0,100.0,17,0.07388961832752299,-0.25470588235294106,0.4117647058823529,7,0.12727272727272726,0.06142857142857142,0.5714285714285714,0.06921069677474831
ny,1,0.0,0.55,0.6,12.0,100.0,22,0.059290312921095975,-0.1654545454545454,0.45454545454545453,9,0.11995002082465639,0.025555555555555554,0.5555555555555556,0.0685499817761384
ny,1,1.0,0.55,0.6,12.0,100.0,22,0.059290312921095975,-0.1654545454545454,0.45454545454545453,9,0.11995002082465639,0.025555555555555554,0.5555555555555556,0.0685499817761384
all,3,0.0,0.7,0.6,14.0,100.0,425,1.0693411844875635,-0.16543529411764699,0.4541176470588235,109,1.2627006154217448,-0.32651376146789,0.3944954128440367,0.06826893525575224
