decision_seconds,horizon_seconds,fold,feature_set,action,model_family,inner_score,parameters,train_rows,test_rows
60,600,4,CONTEXT_PLUS_SHOCK,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,11.983149272088683,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",579,96
60,600,4,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_REGRESSION,12.779759847363671,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",579,96
60,600,4,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_LOGISTIC,0.6336046179334203,"{""C"": 0.1, ""l1_ratio"": 0.9}",579,96
60,600,4,CONTEXT_PLUS_SHOCK,REVERSAL,SHALLOW_GRADIENT_BOOSTING,11.953575163775827,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",579,96
60,900,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,49.07533420881091,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",138,124
60,900,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_LOGISTIC,0.61047734129481,"{""C"": 0.1, ""l1_ratio"": 0.1}",138,124
60,900,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,31.916274089345773,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",138,124
60,900,0,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_REGRESSION,49.426274107942255,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",138,124
60,900,0,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_LOGISTIC,0.6451298566323524,"{""C"": 0.1, ""l1_ratio"": 0.1}",138,124
60,900,0,CONTEXT_ONLY,REVERSAL,SHALLOW_GRADIENT_BOOSTING,32.027787959355706,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",138,124
60,900,0,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_REGRESSION,51.55501224591837,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",138,124
60,900,0,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_LOGISTIC,0.5893971503354335,"{""C"": 1.0, ""l1_ratio"": 0.9}",138,124
60,900,0,CONTEXT_PLUS_SHOCK,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,31.916274089345773,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",138,124
60,900,0,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_REGRESSION,51.91307270694658,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",138,124
60,900,0,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_LOGISTIC,0.5899134878747232,"{""C"": 1.0, ""l1_ratio"": 0.1}",138,124
60,900,0,CONTEXT_PLUS_SHOCK,REVERSAL,SHALLOW_GRADIENT_BOOSTING,32.027787959355706,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",138,124
60,900,1,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,22.14092648847313,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",263,126
60,900,1,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_LOGISTIC,0.7073026580294751,"{""C"": 0.1, ""l1_ratio"": 0.9}",263,126
60,900,1,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,23.63983993259519,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 100}",263,126
60,900,1,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_REGRESSION,22.041224512860445,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",263,126
60,900,1,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_LOGISTIC,0.6658920111855189,"{""C"": 0.1, ""l1_ratio"": 0.5}",263,126
60,900,1,CONTEXT_ONLY,REVERSAL,SHALLOW_GRADIENT_BOOSTING,23.356832207597403,"{""learning_rate"": 0.1, ""max_depth"": 1, ""n_estimators"": 50}",263,126
60,900,1,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_REGRESSION,22.671527499636767,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",263,126
60,900,1,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_LOGISTIC,0.7072979512027988,"{""C"": 0.1, ""l1_ratio"": 0.9}",263,126
60,900,1,CONTEXT_PLUS_SHOCK,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,23.17559628964301,"{""learning_rate"": 0.1, ""max_depth"": 1, ""n_estimators"": 50}",263,126
60,900,1,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_REGRESSION,22.68059175490941,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",263,126
60,900,1,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_LOGISTIC,0.6590954488662157,"{""C"": 0.1, ""l1_ratio"": 0.5}",263,126
60,900,1,CONTEXT_PLUS_SHOCK,REVERSAL,SHALLOW_GRADIENT_BOOSTING,23.00294854973878,"{""learning_rate"": 0.1, ""max_depth"": 1, ""n_estimators"": 50}",263,126
60,900,2,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,33.50479829623731,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",389,103
60,900,2,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_LOGISTIC,0.6773111006564887,"{""C"": 0.1, ""l1_ratio"": 0.9}",389,103
60,900,2,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,24.39892104993699,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",389,103
60,900,2,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_REGRESSION,33.46727225724691,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",389,103
60,900,2,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_LOGISTIC,0.7044257672430907,"{""C"": 0.1, ""l1_ratio"": 0.9}",389,103
60,900,2,CONTEXT_ONLY,REVERSAL,SHALLOW_GRADIENT_BOOSTING,24.48508380110405,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",389,103
