episode_id,checkpoint_seconds,market_cluster_id,symbol,session,week,fold,path_class,continuation_r,reversal_r,oracle_r,remaining_mfe,consumed_move
ts15n_delayed_decision_r2_202503_AUDUSD_mh_140,30,3790,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.100836630837
ts15n_delayed_decision_r2_202503_AUDUSD_mh_140,60,3790,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.168061051395
ts15n_delayed_decision_r2_202503_AUDUSD_mh_140,120,3790,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.100836630837
ts15n_delayed_decision_r2_202503_AUDUSD_mh_141,15,3801,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.067538977347
ts15n_delayed_decision_r2_202503_AUDUSD_mh_141,30,3801,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.0
ts15n_delayed_decision_r2_202503_AUDUSD_mh_141,60,3801,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.315181894288
ts15n_delayed_decision_r2_202503_AUDUSD_mh_142,15,3808,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.553377278592
ts15n_delayed_decision_r2_202503_AUDUSD_mh_144,15,3837,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.014666013633
ts15n_delayed_decision_r2_202503_AUDUSD_mh_144,30,3837,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.161326149958
ts15n_delayed_decision_r2_202503_AUDUSD_mh_144,60,3837,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.307986286282
ts15n_delayed_decision_r2_202503_AUDUSD_mh_145,30,3845,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.590187166945
ts15n_delayed_decision_r2_202503_AUDUSD_mh_145,60,3845,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.622089175969
ts15n_delayed_decision_r2_202503_AUDUSD_mh_146,15,3850,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.042500328367
ts15n_delayed_decision_r2_202503_AUDUSD_mh_146,30,3850,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.127500985102
ts15n_delayed_decision_r2_202503_AUDUSD_mh_147,60,3855,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.087176593635
ts15n_delayed_decision_r2_202503_AUDUSD_mh_148,120,3863,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.567332684057
ts15n_delayed_decision_r2_202503_AUDUSD_mh_149,30,3910,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.266820316488
ts15n_delayed_decision_r2_202503_AUDUSD_mh_149,60,3910,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.076234376139
ts15n_delayed_decision_r2_202503_AUDUSD_mh_149,120,3910,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.012705729357
ts15n_delayed_decision_r2_202503_AUDUSD_mh_15,30,974,AUDUSD,LONDON,2025-W09,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.013871901871
ts15n_delayed_decision_r2_202503_AUDUSD_mh_15,120,974,AUDUSD,LONDON,2025-W09,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.180334724324
ts15n_delayed_decision_r2_202503_AUDUSD_mh_150,15,3920,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.013423782116
ts15n_delayed_decision_r2_202503_AUDUSD_mh_150,30,3920,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.134237821159
ts15n_delayed_decision_r2_202503_AUDUSD_mh_150,120,3920,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.347185627164
ts15n_delayed_decision_r2_202503_AUDUSD_mh_151,15,3931,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.094931069195
ts15n_delayed_decision_r2_202503_AUDUSD_mh_151,30,3931,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.284793207585
ts15n_delayed_decision_r2_202503_AUDUSD_mh_152,15,3949,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.247227405271
ts15n_delayed_decision_r2_202503_AUDUSD_mh_152,120,3949,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.520478751966
ts15n_delayed_decision_r2_202503_AUDUSD_mh_154,15,3991,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.013160326394
ts15n_delayed_decision_r2_202503_AUDUSD_mh_155,15,4024,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.151297952363
ts15n_delayed_decision_r2_202503_AUDUSD_mh_155,30,4024,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.055017437223
ts15n_delayed_decision_r2_202503_AUDUSD_mh_156,15,4059,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.166629932902
ts15n_delayed_decision_r2_202503_AUDUSD_mh_157,30,4072,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.487848476961
ts15n_delayed_decision_r2_202503_AUDUSD_mh_157,60,4072,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.43954275792
ts15n_delayed_decision_r2_202503_AUDUSD_mh_158,15,4113,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.064781516882
ts15n_delayed_decision_r2_202503_AUDUSD_mh_158,30,4113,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.097172275324
ts15n_delayed_decision_r2_202503_AUDUSD_mh_158,60,4113,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.178149171426
ts15n_delayed_decision_r2_202503_AUDUSD_mh_159,30,4138,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.048660317078
ts15n_delayed_decision_r2_202503_AUDUSD_mh_159,60,4138,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.421722748005
ts15n_delayed_decision_r2_202503_AUDUSD_mh_159,120,4138,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.032440211385
ts15n_delayed_decision_r2_202503_AUDUSD_mh_16,15,991,AUDUSD,LONDON,2025-W09,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.079472800182
ts15n_delayed_decision_r2_202503_AUDUSD_mh_16,60,991,AUDUSD,LONDON,2025-W09,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.397364000912
ts15n_delayed_decision_r2_202503_AUDUSD_mh_16,120,991,AUDUSD,LONDON,2025-W09,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.834464401212
ts15n_delayed_decision_r2_202503_AUDUSD_mh_160,15,4168,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.121619140415
ts15n_delayed_decision_r2_202503_AUDUSD_mh_160,30,4168,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.045607177656
ts15n_delayed_decision_r2_202503_AUDUSD_mh_160,60,4168,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.957750730772
ts15n_delayed_decision_r2_202503_AUDUSD_mh_160,120,4168,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,2.614811518933
ts15n_delayed_decision_r2_202503_AUDUSD_mh_161,15,4275,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.206190487701
ts15n_delayed_decision_r2_202503_AUDUSD_mh_161,30,4275,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.343650812836
ts15n_delayed_decision_r2_202503_AUDUSD_mh_161,120,4275,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.236803545779
ts15n_delayed_decision_r2_202503_AUDUSD_mh_162,15,4288,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.026662580157
