session,trend_mode,min_breakout_persist,min_spread_z,max_spread_pips,cooldown_bars,stop_loss_pips,target_r,max_hold_bars,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
london_ny,ema_up,1,0.0,2.0,0,12.0,1.0,6,464,1.1825526755926834,-0.07117456896551881,0.4978448275862069,197,2.2024844720496897,-0.18367174280880372,0.4517766497461929,0.13667217317832753
all,ema_up,2,0.0,2.0,3,15.0,1.2,12,195,0.5065528967140809,-0.024512820512826394,0.49230769230769234,93,1.0733349362827604,-0.07598566308243132,0.4838709677419355,0.13521694824273497
all,ema_up,2,0.0,2.0,3,15.0,1.0,6,202,0.5247368468525351,-0.017887788778883522,0.5,97,1.119499879778793,-0.08398625429553676,0.4639175257731959,0.13496774975905837
london_ny,ema_up,1,0.0,2.0,0,10.0,1.0,12,478,1.218190023626855,-0.06008368200837235,0.5460251046025104,208,2.325465838509317,-0.19120192307691924,0.49038461538461536,0.13464411025692793
all,ema_up,2,0.0,2.0,0,12.0,1.0,6,226,0.5870818187558066,-0.06449115044248396,0.4778761061946903,109,1.2579947102668911,-0.09457186544343907,0.48623853211009177,0.13447845273386064
london_ny,ema_up,1,0.0,2.0,3,10.0,1.2,6,386,0.9837440821202601,-0.01031088082901826,0.5129533678756477,165,1.84472049689441,-0.28127272727273156,0.40606060606060607,0.1343676419853622
london_ny,ema_up,2,0.0,2.0,0,12.0,1.2,12,156,0.4052423173712647,-0.009348290598295986,0.5128205128205128,80,0.9248183679203628,-0.05218749999999951,0.525,0.1338354559956196
london_ny,ema_up,1,0.0,2.0,3,10.0,1.2,12,375,0.955709924339631,-0.006320000000003271,0.528,154,1.7217391304347827,-0.2761688311688299,0.4155844155844156,0.1335604524003937
all,ema_up,2,0.0,2.0,3,15.0,1.2,6,201,0.5221391396898988,-0.014626865671649218,0.48756218905472637,97,1.119499879778793,-0.08487972508591407,0.4536082474226804,0.13304551270999296
all,ema_up,1,0.0,2.0,0,15.0,1.2,12,534,1.3566929550627216,-0.04649188514357462,0.49250936329588013,212,2.3665116279069767,-0.12006289308175581,0.42924528301886794,0.13288472653863143
all,ema_up,1,0.0,2.0,0,15.0,1.0,12,551,1.3998835547557296,-0.04742891712038968,0.5136116152450091,221,2.466976744186047,-0.11088989441930255,0.45701357466063347,0.13201899136440381
london_ny,any,2,0.0,2.0,3,10.0,1.0,12,567,1.4378065209160626,-0.08539682539682668,0.5308641975308642,218,2.5201300525829886,-0.0999082568807404,0.5458715596330275,0.1315309809809349
all,ema_up,1,0.0,2.0,3,15.0,1.2,12,486,1.2347103501204117,-0.04849108367627213,0.4897119341563786,192,2.1432558139534885,-0.1698263888888828,0.4010416666666667,0.13152760161515156
all,ema_up,2,0.0,2.0,3,10.0,1.0,12,204,0.5299322611778077,-0.06921568627451247,0.5294117647058824,97,1.119499879778793,-0.09360824742268327,0.5463917525773195,0.13112936713347764
all,ema_up,1,0.0,2.0,3,15.0,1.0,12,487,1.2372509063963797,-0.04720054757015964,0.5112936344969199,192,2.1432558139534885,-0.1772916666666621,0.421875,0.1310806409315402
all,ema_up,1,0.0,2.0,3,15.0,1.2,6,511,1.29822425701961,-0.0362687540769739,0.49510763209393344,208,2.3218604651162793,-0.15397435897435655,0.4230769230769231,0.13087601015461173
all,ema_up,1,0.0,2.0,3,15.0,1.0,6,511,1.29822425701961,-0.05099804305283811,0.5009784735812133,208,2.3218604651162793,-0.15070512820512663,0.4326923076923077,0.13065638674149482
london_ny,any,2,0.0,2.0,0,15.0,1.0,12,615,1.5595255914698034,-0.070113821138214,0.5073170731707317,237,2.739774414964075,-0.04708860759493744,0.5189873417721519,0.13014683189642645
all,ema_up,2,0.0,2.0,0,12.0,1.0,12,223,0.5792886972678976,-0.05964125560538179,0.515695067264574,108,1.246453474392883,-0.11435185185185325,0.5185185185185185,0.13010776021424977
all,ema_up,2,0.0,2.0,0,12.0,1.2,6,219,0.5688978686173524,-0.04649923896499843,0.4657534246575342,109,1.2579947102668911,-0.09778287461774508,0.45871559633027525,0.12963666321838974
london_ny,ema_up,2,0.0,2.0,3,10.0,1.0,12,148,0.3844606600701742,-0.018986486486490827,0.5608108108108109,72,0.8323365311283265,-0.06402777777778484,0.5694444444444444,0.12926731970171848
all,ema_up,2,0.0,2.0,3,15.0,1.0,12,196,0.5091506038767172,-0.01659863945578764,0.5204081632653061,93,1.0733349362827604,-0.1027956989247254,0.4946236559139785,0.12773510212272265
london_ny,ema_up,2,0.0,2.0,3,15.0,1.0,12,141,0.36627670993172,0.009456264775406169,0.5460992907801419,70,0.8092160719303174,-0.05971428571428028,0.5142857142857142,0.12700870233757763
london_ny,any,2,0.0,2.0,3,12.0,1.0,6,551,1.397233497398149,-0.08546581972172211,0.4863883847549909,208,2.4045277565929433,-0.11670673076923674,0.5096153846153846,0.12622306542915723
