scenario,symbol_session,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_clean_target_path_first60,EURJPY_new_york,1,0,0.0,-30.44,0,-30.44,0.0,-1.2468,-1.2468,0.0,30.44,-1.0
session_reversal_pullback_clean_target_path_first60,EURUSD_london_newyork_overlap,1,0,0.0,-25.28,0,-25.28,0.0,-1.0227,-1.0227,0.0,25.28,-1.0
session_reversal_pullback_clean_target_path_first60,GBPUSD_london_newyork_overlap,1,0,0.0,-21.66,0,-21.66,0.0,-1.0,-1.0,0.0,21.66,-1.0
session_reversal_pullback_clean_target_path_first60,GBPUSD_new_york,1,0,0.0,-24.61,0,-24.61,0.0,-1.0094,-1.0094,0.0,24.61,-1.0
session_reversal_pullback_clean_target_path_first60,USDJPY_london,4,3,0.75,66.24,73.50999999999999,-7.27,10.111416781292984,2.7666000000000004,0.6916500000000001,9.546802594995368,7.27,9.111416781292984
session_reversal_pullback_clean_target_path_first60,USDJPY_london_newyork_overlap,2,1,0.5,15.760000000000002,25.69,-9.93,2.587109768378651,0.6978,0.3489,2.633426966292135,9.93,1.5871097683786508
session_reversal_pullback_clean_target_path_first60,USDJPY_new_york,2,0,0.0,-37.44,0,-37.44,0.0,-1.6023,-0.80115,0.0,37.44,-1.0
session_reversal_pullback_clean_target_path_first60,USDJPY_tokyo,3,1,0.3333333333333333,-8.149999999999999,37.68,-45.83,0.8221688850098189,-0.48350000000000004,-0.16116666666666668,0.7589610648586669,23.33,-0.34933561937419627
tokyo_first120_reference,EURJPY_tokyo,1,0,0.0,-22.56,0,-22.56,0.0,-1.0088,-1.0088,0.0,22.56,-1.0
tokyo_first120_reference,GBPJPY_tokyo,3,1,0.3333333333333333,-20.15,9.63,-29.78,0.3233713901947616,-0.8014999999999999,-0.2671666666666666,0.3672035370282647,29.78,-0.6766286098052383
tokyo_first120_reference,USDJPY_tokyo,14,7,0.5,53.01999999999999,220.96999999999997,-167.95,1.3156891932122654,2.2195,0.15853571428571428,1.3151848222780784,56.36,0.9407381121362667
london_first120_reference,AUDJPY_london,3,1,0.3333333333333333,6.830000000000001,37.88,-31.05,1.2199677938808373,0.17679999999999996,0.05893333333333332,1.133323278787422,23.76,0.28745791245791247
london_first120_reference,EURJPY_london,1,0,0.0,-25.2,0,-25.2,0.0,-1.0146,-1.0146,0.0,25.2,-1.0
london_first120_reference,GBPJPY_london,3,3,1.0,105.24000000000001,105.24000000000001,0,inf,4.5152,1.5050666666666668,inf,0.0,inf
